"","doc_id","sdg01","sdg02","sdg03","sdg04","sdg05","sdg06","sdg07","sdg08","sdg09","sdg10","sdg11","sdg12","sdg13","sdg14","sdg15","sdg16","sgd17","sdg","gc","gri","int","company","country","year","ctrygrp"
"374","TW0002412004_2016_SR_0.pdf",0,0,0,1,6,0,28,2,0,13,0,0,8,0,1,8,11,13,0,29,3,"TW0002412004","TW",2016,"JKT"
"375","TW0002412004_2020_SR_0.pdf",0,0,1,1,8,3,33,3,0,6,1,0,28,0,0,9,18,41,0,33,3,"TW0002412004","TW",2020,"JKT"
"376","TW0002881000_2016_SR_0.pdf",7,1,17,10,5,1,3,12,0,3,2,1,24,0,3,1,26,12,1,30,0,"TW0002881000","TW",2016,"JKT"
"377","TW0002881000_2020_SR_0.pdf",2,0,7,0,2,1,12,3,0,1,1,1,30,0,4,4,9,9,0,61,0,"TW0002881000","TW",2020,"JKT"
"378","TW0002882008_2016_SR_0.pdf",0,0,0,0,1,0,27,0,0,1,0,1,11,0,1,2,9,6,0,21,0,"TW0002882008","TW",2016,"JKT"
"379","TW0002882008_2020_SR_0.pdf",3,0,2,1,3,1,38,3,0,2,0,0,111,0,1,15,30,24,0,47,0,"TW0002882008","TW",2020,"JKT"
"380","TW0002886009_2020_SR_0.pdf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TW0002886009","TW",2020,"JKT"
"381","US0010551028_2016_SR_0.pdf",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,0,"US0010551028","US",2016,"USA"
"382","US0010551028_2020_SR_0.pdf",1,0,2,0,3,0,4,0,0,2,0,0,5,0,0,8,6,8,0,11,0,"US0010551028","US",2020,"USA"
"383","US00507V1098_2020_SR_0.pdf",0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"US00507V1098","US",2020,"USA"
"384","US00751Y1064_2020_SR_0.pdf",0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,"US00751Y1064","US",2020,"USA"
"385","US0091581068_2016_SR_0.pdf",1,2,1,1,1,3,38,3,0,5,1,1,20,0,2,13,4,6,2,7,0,"US0091581068","US",2016,"USA"
"386","US0091581068_2020_SR_1.pdf",1,0,3,0,1,3,40,1,0,1,0,2,11,0,1,5,4,6,0,14,0,"US0091581068","US",2020,"USA"
"387","US0091581068_2020_SR_2.pdf",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,5,0,"US0091581068","US",2020,"USA"
"388","US0091581068_2020_SR_3.pdf",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"US0091581068","US",2020,"USA"
"389","US0091581068_2020_SR_4.pdf",1,0,0,1,0,0,4,0,0,1,0,2,7,0,0,1,1,0,0,23,0,"US0091581068","US",2020,"USA"
"390","US0152711091_2020_SR_0.pdf",0,1,3,2,1,1,2,1,0,3,1,1,4,0,1,2,3,2,0,99,0,"US0152711091","US",2020,"USA"
"391","US0311001004_2020_SR_0.pdf",3,0,5,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,"US0311001004","US",2020,"USA"
"392","US0404131064_2020_SR_0.pdf",0,5,2,0,0,0,6,0,0,1,0,0,2,0,0,3,0,0,0,61,0,"US0404131064","US",2020,"USA"
"393","US0584981064_2016_SR_0.pdf",1,10,1,0,0,3,7,2,0,0,0,1,5,0,7,6,9,7,0,2,0,"US0584981064","US",2016,"USA"
"394","US0584981064_2016_SR_1.pdf",0,0,0,1,0,0,0,1,0,1,0,0,10,0,2,0,0,0,0,23,0,"US0584981064","US",2016,"USA"
"395","US0584981064_2020_SR_0.pdf",1,0,0,0,0,5,17,0,0,0,0,1,16,0,7,3,3,3,0,2,0,"US0584981064","US",2020,"USA"
"396","US0584981064_2020_SR_1.pdf",0,0,5,0,0,0,1,0,0,3,0,0,11,0,10,0,0,263,0,76,0,"US0584981064","US",2020,"USA"
"397","US0605051046_2016_SR_0.pdf",0,0,1,0,0,2,12,3,0,0,0,0,5,0,0,5,1,0,0,0,0,"US0605051046","US",2016,"USA"
"398","US0605051046_2020_SR_0.pdf",0,0,0,0,0,0,8,0,0,0,0,0,3,0,4,0,1,6,0,5,0,"US0605051046","US",2020,"USA"
"399","US0970231058_2016_ER_0.pdf",1,0,0,0,0,1,8,0,0,0,0,0,7,0,4,2,1,0,0,0,0,"US0970231058","US",2016,"USA"
"400","US0970231058_2016_SR_0.pdf",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"US0970231058","US",2016,"USA"
"401","US0970231058_2020_SR_0.pdf",1,0,13,2,1,3,20,3,1,2,0,1,22,0,10,19,12,6,0,41,0,"US0970231058","US",2020,"USA"
"402","US0995021062_2016_CR_0.pdf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"US0995021062","US",2016,"USA"
"403","US0995021062_2016_SR_0.pdf",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"US0995021062","US",2016,"USA"
"404","US0995021062_2020_CR_0.pdf",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"US0995021062","US",2020,"USA"
"405","US0995021062_2020_SR_0.pdf",0,1,9,1,0,0,0,0,0,2,0,0,14,0,2,25,0,0,0,83,0,"US0995021062","US",2020,"USA"
"406","US1011211018_2016_SR_0.pdf",0,0,2,0,0,0,11,0,0,1,0,0,1,0,0,3,1,0,0,34,0,"US1011211018","US",2016,"USA"
"407","US1011211018_2020_SR_0.pdf",0,0,8,0,0,0,17,0,0,2,1,0,29,0,7,2,9,3,0,46,0,"US1011211018","US",2020,"USA"
"408","US1156372096_2016_SR_0.pdf",1,4,0,0,0,6,11,0,0,1,0,0,7,0,1,0,3,6,0,3,0,"US1156372096","US",2016,"USA"
"409","US1156372096_2020_SR_0.pdf",0,1,4,0,0,2,7,0,0,1,0,0,9,0,0,4,0,0,0,0,0,"US1156372096","US",2020,"USA"
"410","US1156372096_2020_SR_2.pdf",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"US1156372096","US",2020,"USA"
"411","US12541W2098_2020_SR_0.pdf",0,1,5,0,0,0,4,0,0,5,0,0,14,0,1,14,0,0,0,1,0,"US12541W2098","US",2020,"USA"
"412","US14149Y1082_2016_SR_0.pdf",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,"US14149Y1082","US",2016,"USA"
"413","US14149Y1082_2020_SR_0.pdf",0,2,4,0,0,0,4,0,0,0,0,0,3,0,0,7,1,0,0,5,0,"US14149Y1082","US",2020,"USA"
"414","US1941621039_2016_SR_0.pdf",0,0,11,0,0,31,9,2,0,3,0,3,17,0,6,5,3,0,0,11,0,"US1941621039","US",2016,"USA"
"415","US1941621039_2020_SR_0.pdf",0,0,19,0,0,14,15,0,0,3,0,1,18,0,4,1,3,1,4,8,0,"US1941621039","US",2020,"USA"
"416","US21036P1084_2016_SR_0.pdf",0,1,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,"US21036P1084","US",2016,"USA"
"417","US21036P1084_2020_SR_0.pdf",0,0,1,0,0,2,1,0,0,1,0,9,3,0,2,3,4,5,0,0,0,"US21036P1084","US",2020,"USA"
"418","US2310211063_2016_SR_0.pdf",0,0,0,0,0,0,2,0,0,0,0,0,9,0,14,1,0,0,0,3,0,"US2310211063","US",2016,"USA"
"419","US2310211063_2016_SR_2.pdf",1,0,0,1,3,2,6,0,0,0,0,0,1,0,0,3,2,0,0,4,0,"US2310211063","US",2016,"USA"
"420","US2310211063_2020_SR_0.pdf",3,0,1,1,4,6,12,5,0,0,0,1,13,0,1,13,3,0,0,5,0,"US2310211063","US",2020,"USA"
"421","US2310211063_2020_SR_1.pdf",1,0,0,0,2,0,2,0,0,2,0,0,11,0,8,4,4,0,0,106,0,"US2310211063","US",2020,"USA"
"422","US2310211063_2020_SR_2.pdf",0,0,0,0,0,0,16,1,0,0,0,0,77,0,1,0,0,0,0,0,0,"US2310211063","US",2020,"USA"
"423","US2473617023_2016_SR_0.pdf",3,1,0,1,0,0,3,1,0,3,0,0,41,0,1,4,3,0,0,25,0,"US2473617023","US",2016,"USA"
"424","US2473617023_2020_SR_0.pdf",0,0,12,0,0,1,3,0,0,1,0,0,24,0,1,6,1,0,0,0,0,"US2473617023","US",2020,"USA"
"425","US24906P1093_2016_SR_0.pdf",0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"US24906P1093","US",2016,"USA"
"426","US24906P1093_2020_SR_0.pdf",0,0,5,2,1,0,7,2,2,4,0,0,2,0,7,6,4,4,0,0,0,"US24906P1093","US",2020,"USA"
"427","US2855121099_2020_SR_0.pdf",0,0,1,0,1,0,8,0,0,1,0,0,2,0,0,16,0,0,0,0,0,"US2855121099","US",2020,"USA"
"428","US29355A1079_2020_SR_0.pdf",0,0,0,0,0,0,9,0,2,1,0,0,1,0,0,3,8,4,0,1,0,"US29355A1079","US",2020,"USA"
"429","US30063P1057_2020_SR_0.pdf",0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,"US30063P1057","US",2020,"USA"
"430","US31428X1063_2016_SR_0.pdf",0,0,4,1,0,0,4,3,0,1,2,0,1,0,3,1,0,0,0,89,0,"US31428X1063","US",2016,"USA"
"431","US31428X1063_2020_SR_0.pdf",0,0,5,0,0,0,13,1,0,3,0,0,17,0,0,2,0,0,0,23,0,"US31428X1063","US",2020,"USA"
"432","US3453708600_2016_SR_0.pdf",4,5,9,3,2,14,8,4,2,7,3,1,61,0,16,12,12,21,17,166,0,"US3453708600","US",2016,"USA"
"433","US3453708600_2020_IR_0.pdf",1,3,13,0,0,4,15,0,0,0,1,0,31,0,2,12,10,10,2,6,2,"US3453708600","US",2020,"USA"
"434","US3453708600_2020_SR_0.pdf",0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,"US3453708600","US",2020,"USA"
